35,1,"admin admin",admin,"Borro al usuario: clientes  clientes","2016-11-26 17:21:38"
36,1,"admin admin",admin,"Registro al usuario: cli cli","2016-11-26 17:21:51"
37,1,"admin admin",admin,"Registro al usuario: usu usu","2016-11-26 17:22:55"
38,2,,usu,"Fallo de identificacion, Datos incorrectos","2016-11-26 17:25:25"
39,2,,usu,"Fallo de identificacion, Datos incorrectos","2016-11-26 17:25:29"
40,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2016-11-26 17:25:33"
41,1,"admin admin",admin,"Modifico datos del usuario: u u","2016-11-26 17:25:46"
42,7,"u u",u,"Identificado correctamente, acceso permitido","2016-11-26 17:25:53"
43,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2016-11-26 17:26:04"
44,1,"admin admin",admin,"Modifico datos del usuario: u u","2016-11-26 17:26:11"
45,7,"u u",u,"Identificado correctamente, acceso permitido","2016-11-26 17:26:16"
46,7,"u u",u,"Modifico datos del usuario: cli cli","2016-11-26 17:36:21"
47,7,"u u",u,"Modifico datos del usuario: cli cli","2016-11-26 17:36:33"
48,7,"u u",u,"Modifico datos del usuario: cli cli","2016-11-26 17:40:18"
49,7,"u u",u,"Modifico datos del usuario: cli cli","2016-11-26 17:53:16"
50,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2016-11-26 17:53:28"
51,1,"admin admin",admin,"Modifico datos del usuario: u u","2016-11-26 17:53:36"
52,7,"u u",u,"Identificado correctamente, acceso permitido","2016-11-26 17:53:41"
53,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2016-12-04 19:20:48"
54,1,"admin admin",admin,"Registro al cliente: aaa bbb","2016-12-04 20:51:16"
55,1,"admin admin",admin,"Modifico datos del cliente: Joan Ayala Ferreras","2016-12-04 21:06:41"
56,1,"admin admin",admin,"Modifico datos del cliente: Queralt Viso Gilabert","2016-12-04 21:06:55"
57,1,"admin admin",admin,"Modifico datos del cliente: Queralt Viso Gilabert","2016-12-04 21:11:26"
58,2,,a,"Fallo de identificacion, Datos incorrectos","2016-12-08 14:23:39"
59,2,,a,"Fallo de identificacion, Datos incorrectos","2016-12-08 14:23:45"
60,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2016-12-08 14:23:50"
61,1,"admin admin",admin,"Modifico datos del cliente: Joan Ayala Ferreras","2016-12-08 14:24:14"
62,1,"admin admin",admin,"Modifico datos del cliente: Estefania Arocha Pasadas","2016-12-08 14:28:45"
63,1,"admin admin",admin,"Modifico datos del cliente: aaa bbb","2016-12-08 14:28:55"
64,1,"admin admin",admin,"Modifico datos del cliente: Queralt Viso Gilabert","2016-12-08 14:32:32"
65,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2016-12-08 15:32:35"
66,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2016-12-08 15:38:56"
67,7,"u u",u,"Identificado correctamente, acceso permitido","2016-12-08 16:16:01"
68,2,,cli,"Fallo de identificacion, Datos incorrectos","2016-12-08 16:16:13"
69,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2016-12-08 16:16:18"
70,1,"admin admin",admin,"Modifico datos del cliente: Estefania Arocha Pasadas","2016-12-08 16:20:15"
71,1,"admin admin",admin,"Modifico datos del cliente: Estefania Arocha Pasadas","2016-12-08 16:21:11"
72,1,"admin admin",admin,"Modifico datos del cliente: Estefania Arocha Pasadas","2016-12-08 16:21:26"
73,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2016-12-18 20:03:08"
74,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2016-12-18 20:20:22"
75,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2016-12-18 21:26:46"
76,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2016-12-18 21:29:13"
77,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2016-12-20 19:42:05"
78,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2016-12-21 21:07:28"
79,1,"admin admin",admin,"Modifico datos del usuario:  ","2016-12-21 23:15:39"
